team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
IND,Kuldeep Yadav (IND),bowl,31,7,2,0.064516129,0.225806452,v South Africa,Eden Gardens,5-Nov-23,5.1,1,1.35,2,,,,,
SL,AD Mathews (SL),bowl,30,14,2,0.066666667,0.466666667,v England,Bengaluru,26-Oct-23,5,1,2.8,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,36,16,2,0.055555556,0.444444444,v England,Delhi,15-Oct-23,6,0,2.66,2,,,,,
NZ,GD Phillips (NZ),bowl,18,17,2,0.111111111,0.944444444,v England,Ahmedabad,5-Oct-23,3,0,5.66,1,,,,,
NZ,TA Boult (NZ),bowl,42,18,2,0.047619048,0.428571429,v Afghanistan,Chennai,18-Oct-23,7,1,2.57,2,,,,,
IND,Mohammed Shami (IND),bowl,24,18,2,0.083333333,0.75,v South Africa,Eden Gardens,5-Nov-23,4,0,4.5,2,,,,,
IND,JJ Bumrah (IND),bowl,42,19,2,0.047619048,0.452380952,v Pakistan,Ahmedabad,14-Oct-23,7,1,2.71,1,,,,,
AUS,MR Marsh (AUS),bowl,24,19,2,0.083333333,0.791666667,v Netherlands,Delhi,25-Oct-23,4,0,4.75,2,,,,,
ENG,DJ Willey (ENG),bowl,42,19,2,0.047619048,0.452380952,v Netherlands,Pune,8-Nov-23,7,2,2.71,2,,,,,
NZ,R Ravindra (NZ),bowl,46,21,2,0.043478261,0.456521739,v Sri Lanka,Bengaluru,9-Nov-23,7.4,0,2.73,1,,,,,
NZ,MJ Santner (NZ),bowl,60,22,2,0.033333333,0.366666667,v Sri Lanka,Bengaluru,9-Nov-23,10,2,2.2,1,,,,,
IND,Kuldeep Yadav (IND),bowl,48,24,2,0.041666667,0.5,v England,Lucknow,29-Oct-23,8,0,3,2,,,,,
NED,BFW de Leede (NED),bowl,42,25,2,0.047619048,0.595238095,v Bangladesh,Eden Gardens,28-Oct-23,7,0,3.57,2,,,,,
SA,KA Maharaj (SA),bowl,60,25,2,0.033333333,0.416666667,v Afghanistan,Ahmedabad,10-Nov-23,10,1,2.5,1,,,,,
SA,L Ngidi (SA),bowl,30,26,2,0.066666667,0.866666667,v England,Wankhede,21-Oct-23,5,1,5.2,2,,,,,
SA,M Jansen (SA),bowl,48,27,2,0.041666667,0.5625,v Netherlands,Dharamsala,17-Oct-23,8,1,3.37,1,,,,,
SL,AD Mathews (SL),bowl,24,29,2,0.083333333,1.208333333,v New Zealand,Bengaluru,9-Nov-23,4,0,7.25,2,,,,,
SA,KA Maharaj (SA),bowl,60,30,2,0.033333333,0.5,v Australia,Lucknow,12-Oct-23,10,0,3,2,,,,,
ENG,DJ Willey (ENG),bowl,30,30,2,0.066666667,1,v Sri Lanka,Bengaluru,26-Oct-23,5,0,6,2,,,,,
AFG,Noor Ahmad (AFG),bowl,54,31,2,0.037037037,0.574074074,v Netherlands,Lucknow,3-Nov-23,9,0,3.44,1,,,,,
AUS,PJ Cummins (AUS),bowl,42,32,2,0.047619048,0.761904762,v Sri Lanka,Lucknow,16-Oct-23,7,0,4.57,1,,,,,
PAK,Hasan Ali (PAK),bowl,42,33,2,0.047619048,0.785714286,v Netherlands,Hyderabad,6-Oct-23,7,1,4.71,2,,,,,
ENG,CR Woakes (ENG),bowl,54,33,2,0.037037037,0.611111111,v India,Lucknow,29-Oct-23,9,1,3.66,1,,,,,
BAN,Shoriful Islam (BAN),bowl,38,34,2,0.052631579,0.894736842,v Afghanistan,Dharamsala,7-Oct-23,6.2,1,5.36,1,,,,,
AUS,GJ Maxwell (AUS),bowl,60,34,2,0.033333333,0.566666667,v South Africa,Lucknow,12-Oct-23,10,1,3.4,1,,,,,
IND,HH Pandya (IND),bowl,36,34,2,0.055555556,0.944444444,v Pakistan,Ahmedabad,14-Oct-23,6,0,5.66,1,,,,,
NED,RE van der Merwe (NED),bowl,54,34,2,0.037037037,0.62962963,v South Africa,Dharamsala,17-Oct-23,9,0,3.77,2,,,,,
IND,JJ Bumrah (IND),bowl,60,35,2,0.033333333,0.583333333,v Australia,Chennai,8-Oct-23,10,0,3.5,1,,,,,
IND,Kuldeep Yadav (IND),bowl,60,35,2,0.033333333,0.583333333,v Pakistan,Ahmedabad,14-Oct-23,10,0,3.5,1,,,,,
SA,M Jansen (SA),bowl,30,35,2,0.066666667,1.166666667,v England,Wankhede,21-Oct-23,5,0,7,2,,,,,
IND,Mohammed Shami (IND),bowl,30,18,5,0.166666667,0.6,v Sri Lanka,Wankhede,2-Nov-23,5,1,3.6,2,,,,,
IND,RA Jadeja (IND),bowl,54,33,5,0.092592593,0.611111111,v South Africa,Eden Gardens,5-Nov-23,9,1,3.66,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,60,54,5,0.083333333,0.9,v Australia,Bengaluru,20-Oct-23,10,1,5.4,1,,,,,
IND,Mohammed Shami (IND),bowl,60,54,5,0.083333333,0.9,v New Zealand,Dharamsala,22-Oct-23,10,0,5.4,1,,,,,
NZ,MJ Santner (NZ),bowl,60,59,5,0.083333333,0.983333333,v Netherlands,Hyderabad,9-Oct-23,10,0,5.9,2,,,,,
SL,D Madushanka (SL),bowl,60,80,5,0.083333333,1.333333333,v India,Wankhede,2-Nov-23,10,0,8,1,,,,,
AUS,A Zampa (AUS),bowl,18,8,4,0.222222222,0.444444444,v Netherlands,Delhi,25-Oct-23,3,0,2.66,2,,,,,
IND,Mohammed Shami (IND),bowl,42,22,4,0.095238095,0.523809524,v England,Lucknow,29-Oct-23,7,2,3.14,2,,,,,
NED,PA van Meekeren (NED),bowl,44,23,4,0.090909091,0.522727273,v Bangladesh,Eden Gardens,28-Oct-23,7.2,0,3.13,2,,,,,
AFG,Fazalhaq Farooqi (AFG),bowl,60,34,4,0.066666667,0.566666667,v Sri Lanka,Pune,30-Oct-23,10,1,3.4,1,,,,,
IND,JJ Bumrah (IND),bowl,60,39,4,0.066666667,0.65,v Afghanistan,Delhi,11-Oct-23,10,0,3.9,1,,,,,
ENG,RJW Topley (ENG),bowl,60,43,4,0.066666667,0.716666667,v Bangladesh,Dharamsala,10-Oct-23,10,1,4.3,2,,,,,
SA,G Coetzee (SA),bowl,60,44,4,0.066666667,0.733333333,v Afghanistan,Ahmedabad,10-Nov-23,10,1,4.4,1,,,,,
SA,KA Maharaj (SA),bowl,54,46,4,0.074074074,0.851851852,v New Zealand,Pune,1-Nov-23,9,0,5.11,2,,,,,
AUS,A Zampa (AUS),bowl,48,47,4,0.083333333,0.979166667,v Sri Lanka,Lucknow,16-Oct-23,8,1,5.87,1,,,,,
SL,D Madushanka (SL),bowl,58,49,4,0.068965517,0.844827586,v Netherlands,Lucknow,21-Oct-23,9.4,1,5.06,1,,,,,
SL,CAK Rajitha (SL),bowl,54,50,4,0.074074074,0.925925926,v Netherlands,Lucknow,21-Oct-23,9,0,5.55,1,,,,,
AUS,A Zampa (AUS),bowl,60,53,4,0.066666667,0.883333333,v Pakistan,Bengaluru,20-Oct-23,10,0,5.3,2,,,,,
ENG,CR Woakes (ENG),bowl,57,54,4,0.070175439,0.947368421,v Australia,Ahmedabad,4-Nov-23,9.3,0,5.68,1,,,,,
SA,T Shamsi (SA),bowl,60,60,4,0.066666667,1,v Pakistan,Chennai,27-Oct-23,10,0,6,1,,,,,
NED,BFW de Leede (NED),bowl,54,62,4,0.074074074,1.148148148,v Pakistan,Hyderabad,6-Oct-23,9,0,6.88,1,,,,,
BAN,Mahedi Hasan (BAN),bowl,48,71,4,0.083333333,1.479166667,v England,Dharamsala,10-Oct-23,8,0,8.87,1,,,,,
PAK,Hasan Ali (PAK),bowl,60,71,4,0.066666667,1.183333333,v Sri Lanka,Hyderabad,10-Oct-23,10,0,7.1,1,,,,,
NED,LV van Beek (NED),bowl,60,74,4,0.066666667,1.233333333,v Australia,Delhi,25-Oct-23,10,0,7.4,1,,,,,
IND,Mohammed Siraj (IND),bowl,42,16,3,0.071428571,0.380952381,v Sri Lanka,Wankhede,2-Nov-23,7,2,2.28,2,,,,,
NZ,LH Ferguson (NZ),bowl,42,19,3,0.071428571,0.452380952,v Afghanistan,Chennai,18-Oct-23,7,1,2.71,2,,,,,
AUS,A Zampa (AUS),bowl,60,21,3,0.05,0.35,v England,Ahmedabad,4-Nov-23,10,0,2.1,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,54,23,3,0.055555556,0.425925926,v Bangladesh,Eden Gardens,31-Oct-23,9,1,2.55,1,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,54,25,3,0.055555556,0.462962963,v Afghanistan,Dharamsala,7-Oct-23,9,3,2.77,1,,,,,
IND,RA Jadeja (IND),bowl,60,28,3,0.05,0.466666667,v Australia,Chennai,8-Oct-23,10,2,2.8,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,57,28,3,0.052631579,0.49122807,v Netherlands,Lucknow,3-Nov-23,9.3,1,2.94,1,,,,,
BAN,Shakib Al Hasan (BAN),bowl,48,30,3,0.0625,0.625,v Afghanistan,Dharamsala,7-Oct-23,8,0,3.75,1,,,,,
PAK,Mohammad Wasim (1) (PAK),bowl,49,31,3,0.06122449,0.632653061,v Bangladesh,Eden Gardens,31-Oct-23,8.1,1,3.79,1,,,,,
SA,M Jansen (SA),bowl,48,31,3,0.0625,0.645833333,v New Zealand,Pune,1-Nov-23,8,1,3.87,2,,,,,
IND,JJ Bumrah (IND),bowl,41,32,3,0.073170732,0.780487805,v England,Lucknow,29-Oct-23,6.5,1,4.68,2,,,,,
SA,K Rabada (SA),bowl,48,33,3,0.0625,0.6875,v Australia,Lucknow,12-Oct-23,8,1,4.12,2,,,,,
SA,G Coetzee (SA),bowl,24,35,3,0.125,1.458333333,v England,Wankhede,21-Oct-23,4,0,8.75,2,,,,,
SL,CBRLS Kumara (SL),bowl,42,35,3,0.071428571,0.833333333,v England,Bengaluru,26-Oct-23,7,0,5,1,,,,,
AFG,Rashid Khan (AFG),bowl,57,37,3,0.052631579,0.649122807,v England,Delhi,15-Oct-23,9.3,1,3.89,2,,,,,
NZ,GD Phillips (NZ),bowl,60,37,3,0.05,0.616666667,v Australia,Dharamsala,28-Oct-23,10,0,3.7,1,,,,,
NZ,TA Boult (NZ),bowl,60,37,3,0.05,0.616666667,v Sri Lanka,Bengaluru,9-Nov-23,10,3,3.7,1,,,,,
AUS,JR Hazlewood (AUS),bowl,54,38,3,0.055555556,0.703703704,v India,Chennai,8-Oct-23,9,1,4.22,2,,,,,
SL,D Madushanka (SL),bowl,54,38,3,0.055555556,0.703703704,v Australia,Lucknow,16-Oct-23,9,2,4.22,2,,,,,
NZ,MJ Santner (NZ),bowl,46,39,3,0.065217391,0.847826087,v Afghanistan,Chennai,18-Oct-23,7.4,0,5.08,2,,,,,
NZ,MJ Henry (NZ),bowl,51,40,3,0.058823529,0.784313725,v Netherlands,Hyderabad,9-Oct-23,8.3,0,4.7,2,,,,,
ENG,AU Rashid (ENG),bowl,60,42,3,0.05,0.7,v Afghanistan,Delhi,15-Oct-23,10,1,4.2,1,,,,,
ENG,MM Ali (ENG),bowl,50,42,3,0.06,0.84,v Netherlands,Pune,8-Nov-23,8.2,0,5.04,2,,,,,
PAK,Haris Rauf (PAK),bowl,54,43,3,0.055555556,0.796296296,v Netherlands,Hyderabad,6-Oct-23,9,0,4.77,2,,,,,
SA,M Jansen (SA),bowl,54,43,3,0.055555556,0.796296296,v Pakistan,Chennai,27-Oct-23,9,1,4.77,1,,,,,
NED,A Dutt (NED),bowl,60,44,3,0.05,0.733333333,v Sri Lanka,Lucknow,21-Oct-23,10,0,4.4,2,,,,,
ENG,AU Rashid (ENG),bowl,60,35,2,0.033333333,0.583333333,v India,Lucknow,29-Oct-23,10,0,3.5,1,,,,,
SL,AD Mathews (SL),bowl,43,35,2,0.046511628,0.813953488,v Bangladesh,Delhi,6-Nov-23,7.1,1,4.88,2,,,,,
NZ,LH Ferguson (NZ),bowl,60,35,2,0.033333333,0.583333333,v Sri Lanka,Bengaluru,9-Nov-23,10,2,3.5,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,60,35,2,0.033333333,0.583333333,v South Africa,Ahmedabad,10-Nov-23,10,1,3.5,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,36,36,2,0.055555556,1,v India,Ahmedabad,14-Oct-23,6,0,6,2,,,,,
NED,BFW de Leede (NED),bowl,48,36,2,0.041666667,0.75,v South Africa,Dharamsala,17-Oct-23,8,0,4.5,2,,,,,
SL,CAK Rajitha (SL),bowl,42,36,2,0.047619048,0.857142857,v England,Bengaluru,26-Oct-23,7,0,5.14,1,,,,,
BAN,Mustafizur Rahman (BAN),bowl,60,36,2,0.033333333,0.6,v Netherlands,Eden Gardens,28-Oct-23,10,1,3.6,1,,,,,
PAK,Haris Rauf (PAK),bowl,48,36,2,0.041666667,0.75,v Bangladesh,Eden Gardens,31-Oct-23,8,0,4.5,1,,,,,
NZ,MJ Santner (NZ),bowl,60,37,2,0.033333333,0.616666667,v England,Ahmedabad,5-Oct-23,10,0,3.7,1,,,,,
AFG,Rashid Khan (AFG),bowl,60,37,2,0.033333333,0.616666667,v South Africa,Ahmedabad,10-Nov-23,10,1,3.7,2,,,,,
SA,T Shamsi (SA),bowl,47,38,2,0.042553191,0.808510638,v Australia,Lucknow,12-Oct-23,7.5,0,4.85,2,,,,,
IND,RA Jadeja (IND),bowl,59,38,2,0.033898305,0.644067797,v Pakistan,Ahmedabad,14-Oct-23,9.5,0,3.86,1,,,,,
IND,RA Jadeja (IND),bowl,60,38,2,0.033333333,0.633333333,v Bangladesh,Pune,19-Oct-23,10,0,3.8,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,38,2,0.033333333,0.633333333,v Sri Lanka,Pune,30-Oct-23,10,0,3.8,1,,,,,
ENG,AU Rashid (ENG),bowl,60,38,2,0.033333333,0.633333333,v Australia,Ahmedabad,4-Nov-23,10,0,3.8,1,,,,,
NED,CN Ackermann (NED),bowl,48,39,2,0.041666667,0.8125,v Pakistan,Hyderabad,6-Oct-23,8,1,4.87,1,,,,,
SA,M Jansen (SA),bowl,48,39,2,0.041666667,0.8125,v Bangladesh,Wankhede,24-Oct-23,8,0,4.87,2,,,,,
AUS,JR Hazlewood (AUS),bowl,54,39,2,0.037037037,0.722222222,v Afghanistan,Wankhede,7-Nov-23,9,0,4.33,1,,,,,
NED,PA van Meekeren (NED),bowl,54,40,2,0.037037037,0.740740741,v South Africa,Dharamsala,17-Oct-23,9,0,4.44,2,,,,,
AUS,MP Stoinis (AUS),bowl,30,40,2,0.066666667,1.333333333,v Pakistan,Bengaluru,20-Oct-23,5,0,8,2,,,,,
BAN,Mahedi Hasan (BAN),bowl,42,40,2,0.047619048,0.952380952,v Netherlands,Eden Gardens,28-Oct-23,7,0,5.71,1,,,,,
IND,JJ Bumrah (IND),bowl,60,41,2,0.033333333,0.683333333,v Bangladesh,Pune,19-Oct-23,10,1,4.1,1,,,,,
SA,G Coetzee (SA),bowl,39,41,2,0.051282051,1.051282051,v New Zealand,Pune,1-Nov-23,6.3,0,6.3,2,,,,,
IND,Kuldeep Yadav (IND),bowl,60,42,2,0.033333333,0.7,v Australia,Chennai,8-Oct-23,10,0,4.2,1,,,,,
SA,K Rabada (SA),bowl,60,42,2,0.033333333,0.7,v Bangladesh,Wankhede,24-Oct-23,10,1,4.2,2,,,,,
SA,G Coetzee (SA),bowl,42,42,2,0.047619048,1,v Pakistan,Chennai,27-Oct-23,7,0,6,1,,,,,
IND,HH Pandya (IND),bowl,42,43,2,0.047619048,1.023809524,v Afghanistan,Delhi,11-Oct-23,7,0,6.14,1,,,,,
AUS,MA Starc (AUS),bowl,60,43,2,0.033333333,0.716666667,v Sri Lanka,Lucknow,16-Oct-23,10,0,4.3,1,,,,,
BAN,Taskin Ahmed (BAN),bowl,54,43,2,0.037037037,0.796296296,v Netherlands,Eden Gardens,28-Oct-23,9,1,4.77,1,,,,,
SL,M Theekshana (SL),bowl,54,44,2,0.037037037,0.814814815,v Bangladesh,Delhi,6-Nov-23,9,0,4.88,2,,,,,
AFG,Rashid Khan (AFG),bowl,60,44,2,0.033333333,0.733333333,v Australia,Wankhede,7-Nov-23,10,0,4.4,2,,,,,
NZ,TA Boult (NZ),bowl,60,45,2,0.033333333,0.75,v Bangladesh,Chennai,13-Oct-23,10,0,4.5,1,,,,,
PAK,Usama Mir (PAK),bowl,48,45,2,0.041666667,0.9375,v South Africa,Chennai,27-Oct-23,8,0,5.62,2,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,60,47,2,0.033333333,0.783333333,v India,Pune,19-Oct-23,10,0,4.7,2,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,54,47,2,0.037037037,0.87037037,v Australia,Wankhede,7-Nov-23,9,0,5.22,2,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,48,48,2,0.041666667,1,v New Zealand,Chennai,18-Oct-23,8,0,6,1,,,,,
SL,D Madushanka (SL),bowl,54,48,2,0.037037037,0.888888889,v Afghanistan,Pune,30-Oct-23,9,0,5.33,2,,,,,
ENG,CR Woakes (ENG),bowl,48,49,2,0.041666667,1.020833333,v Bangladesh,Dharamsala,10-Oct-23,8,0,6.12,2,,,,,
AUS,JR Hazlewood (AUS),bowl,55,49,2,0.036363636,0.890909091,v England,Ahmedabad,4-Nov-23,9.1,1,5.34,2,,,,,
AUS,PJ Cummins (AUS),bowl,60,49,2,0.033333333,0.816666667,v England,Ahmedabad,4-Nov-23,10,1,4.9,2,,,,,
SA,K Rabada (SA),bowl,47,50,2,0.042553191,1.063829787,v Sri Lanka,Delhi,7-Oct-23,7.5,0,6.38,2,,,,,
IND,Mohammed Siraj (IND),bowl,48,50,2,0.041666667,1.041666667,v Pakistan,Ahmedabad,14-Oct-23,8,0,6.25,1,,,,,
ENG,MA Wood (ENG),bowl,54,50,2,0.037037037,0.925925926,v Afghanistan,Delhi,15-Oct-23,9,0,5.55,1,,,,,
PAK,Mohammad Wasim (1) (PAK),bowl,60,50,2,0.033333333,0.833333333,v South Africa,Chennai,27-Oct-23,10,1,5,2,,,,,
BAN,Shoriful Islam (BAN),bowl,60,51,2,0.033333333,0.85,v Netherlands,Eden Gardens,28-Oct-23,10,0,5.1,1,,,,,
BAN,Shoriful Islam (BAN),bowl,57,51,2,0.035087719,0.894736842,v Sri Lanka,Delhi,6-Nov-23,9.3,0,5.36,1,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,42,52,2,0.047619048,1.238095238,v Pakistan,Chennai,23-Oct-23,7,0,7.42,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,42,52,2,0.047619048,1.238095238,v Australia,Wankhede,7-Nov-23,7,1,7.42,2,,,,,
AUS,MA Starc (AUS),bowl,54,53,2,0.037037037,0.981481481,v South Africa,Lucknow,12-Oct-23,9,1,5.88,1,,,,,
SA,M Jansen (SA),bowl,42,54,2,0.047619048,1.285714286,v Australia,Lucknow,12-Oct-23,7,0,7.71,2,,,,,
NED,RE van der Merwe (NED),bowl,54,56,2,0.037037037,1.037037037,v New Zealand,Hyderabad,9-Oct-23,9,0,6.22,1,,,,,
SA,K Rabada (SA),bowl,54,56,2,0.037037037,1.037037037,v Netherlands,Dharamsala,17-Oct-23,9,1,6.22,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,42,56,2,0.047619048,1.333333333,v New Zealand,Chennai,18-Oct-23,7,0,8,1,,,,,
SA,LB Williams (SA),bowl,52,56,2,0.038461538,1.076923077,v Bangladesh,Wankhede,24-Oct-23,8.4,1,6.46,2,,,,,
AFG,Rashid Khan (AFG),bowl,48,57,2,0.041666667,1.1875,v India,Delhi,11-Oct-23,8,0,7.12,2,,,,,
SA,L Ngidi (SA),bowl,54,57,2,0.037037037,1.055555556,v Netherlands,Dharamsala,17-Oct-23,9,1,6.33,1,,,,,
BAN,Shakib Al Hasan (BAN),bowl,60,57,2,0.033333333,0.95,v Sri Lanka,Delhi,6-Nov-23,10,0,5.7,1,,,,,
NZ,MJ Henry (NZ),bowl,60,58,2,0.033333333,0.966666667,v Bangladesh,Chennai,13-Oct-23,10,0,5.8,1,,,,,
NED,PA van Meekeren (NED),bowl,54,59,2,0.037037037,1.092592593,v New Zealand,Hyderabad,9-Oct-23,9,0,6.55,1,,,,,
SL,D Madushanka (SL),bowl,56,60,2,0.035714286,1.071428571,v Pakistan,Hyderabad,10-Oct-23,9.2,0,6.42,2,,,,,
IND,Mohammed Siraj (IND),bowl,60,60,2,0.033333333,1,v Bangladesh,Pune,19-Oct-23,10,0,6,1,,,,,
ENG,AAP Atkinson (ENG),bowl,54,60,2,0.037037037,1.111111111,v South Africa,Wankhede,21-Oct-23,9,0,6.66,1,,,,,
ENG,AU Rashid (ENG),bowl,60,61,2,0.033333333,1.016666667,v South Africa,Wankhede,21-Oct-23,10,0,6.1,1,,,,,
SA,KA Maharaj (SA),bowl,60,62,2,0.033333333,1.033333333,v Sri Lanka,Delhi,7-Oct-23,10,0,6.2,2,,,,,
NED,A Dutt (NED),bowl,60,62,2,0.033333333,1.033333333,v New Zealand,Hyderabad,9-Oct-23,10,2,6.2,1,,,,,
AUS,PJ Cummins (AUS),bowl,45,62,2,0.044444444,1.377777778,v Pakistan,Bengaluru,20-Oct-23,7.3,0,8.26,2,,,,,
PAK,Haris Rauf (PAK),bowl,60,62,2,0.033333333,1.033333333,v South Africa,Chennai,27-Oct-23,10,0,6.2,2,,,,,
NZ,LH Ferguson (NZ),bowl,48,63,2,0.041666667,1.3125,v India,Dharamsala,22-Oct-23,8,0,7.87,2,,,,,
PAK,Haris Rauf (PAK),bowl,60,64,2,0.033333333,1.066666667,v Sri Lanka,Hyderabad,10-Oct-23,10,0,6.4,1,,,,,
AUS,PJ Cummins (AUS),bowl,60,66,2,0.033333333,1.1,v New Zealand,Dharamsala,28-Oct-23,10,0,6.6,2,,,,,
AUS,MA Starc (AUS),bowl,60,66,2,0.033333333,1.1,v England,Ahmedabad,4-Nov-23,10,0,6.6,2,,,,,
BAN,Hasan Mahmud (BAN),bowl,36,67,2,0.055555556,1.861111111,v South Africa,Wankhede,24-Oct-23,6,0,11.16,1,,,,,
NED,A Dutt (NED),bowl,60,67,2,0.033333333,1.116666667,v England,Pune,8-Nov-23,10,0,6.7,1,,,,,
SA,L Ngidi (SA),bowl,51,69,2,0.039215686,1.352941176,v Afghanistan,Ahmedabad,10-Nov-23,8.3,0,8.11,1,,,,,
AUS,JR Hazlewood (AUS),bowl,54,70,2,0.037037037,1.296296296,v New Zealand,Dharamsala,28-Oct-23,9,0,7.77,2,,,,,
ENG,MA Wood (ENG),bowl,60,70,2,0.033333333,1.166666667,v Australia,Ahmedabad,4-Nov-23,10,0,7,1,,,,,
IND,Kuldeep Yadav (IND),bowl,60,73,2,0.033333333,1.216666667,v New Zealand,Dharamsala,22-Oct-23,10,0,7.3,1,,,,,
NZ,TG Southee (NZ),bowl,60,77,2,0.033333333,1.283333333,v South Africa,Pune,1-Nov-23,10,0,7.7,1,,,,,
NZ,MJ Santner (NZ),bowl,60,80,2,0.033333333,1.333333333,v Australia,Dharamsala,28-Oct-23,10,0,8,1,,,,,
SL,D Madushanka (SL),bowl,60,86,2,0.033333333,1.433333333,v South Africa,Delhi,7-Oct-23,10,0,8.6,1,,,,,
NED,LV van Beek (NED),bowl,60,88,2,0.033333333,1.466666667,v England,Pune,8-Nov-23,10,0,8.8,1,,,,,
SA,M Jansen (SA),bowl,60,92,2,0.033333333,1.533333333,v Sri Lanka,Delhi,7-Oct-23,10,0,9.2,2,,,,,
NED,BFW de Leede (NED),bowl,60,115,2,0.033333333,1.916666667,v Australia,Delhi,25-Oct-23,10,0,11.5,1,,,,,
IND,RA Jadeja (IND),bowl,4,4,1,0.25,1,v Sri Lanka,Wankhede,2-Nov-23,0.4,0,6,2,,,,,
IND,JJ Bumrah (IND),bowl,30,8,1,0.033333333,0.266666667,v Sri Lanka,Wankhede,2-Nov-23,5,1,1.6,2,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,12,9,1,0.083333333,0.75,v Bangladesh,Dharamsala,7-Oct-23,2,0,4.5,2,,,,,
IND,Mohammed Siraj (IND),bowl,24,11,1,0.041666667,0.458333333,v South Africa,Eden Gardens,5-Nov-23,4,1,2.75,2,,,,,
ENG,LS Livingstone (ENG),bowl,18,13,1,0.055555556,0.722222222,v Bangladesh,Dharamsala,10-Oct-23,3,0,4.33,2,,,,,
NZ,GD Phillips (NZ),bowl,12,13,1,0.083333333,1.083333333,v Bangladesh,Chennai,13-Oct-23,2,0,6.5,1,,,,,
AUS,PJ Cummins (AUS),bowl,24,14,1,0.041666667,0.583333333,v Netherlands,Delhi,25-Oct-23,4,0,3.5,2,,,,,
